"id","csrd_id","csrd_name","csrd_appendix_b","csrd_appendix_c_less_then_750","csrd_appendix_c_more_then_750","csrd_sheet_name","csrd_conditional_or_alternative_dp","csrd_data_type","csrd_dr","csrd_esrs","csrd_may_v","csrd_paragraph","csrd_related_ar"
"__export__.document_csrd_1_c3b55224","bp-1_01","basis for preparation of sustainability statement","","","","ESRS 2","","semi-narrative","bp-1","esrs 2","","5 a",""
"__export__.document_csrd_2_ccfa07b1","bp-1_02","scope of consolidation of consolidated sustainability statement is same as for financial statements","","","","ESRS 2","conditional","narrative","bp-1","esrs 2","","5 b i",""
"__export__.document_csrd_3_9f180e84","bp-1_03","indication of subsidiary undertakings included in consolidation that are exempted from individual or consolidated sustainability reporting","","","","ESRS 2","conditional","narrative","bp-1","esrs 2","","5 b ii",""
"__export__.document_csrd_4_685e705b","bp-1_04","disclosure of extent to which sustainability statement covers upstream and downstream value chain","","","","ESRS 2","","narrative","bp-1","esrs 2","","5 c","ar 1"
"__export__.document_csrd_5_0fe6ee57","bp-1_05","option to omit specific piece of information corresponding to intellectual property, know-how or results of innovation has been used","","","","ESRS 2","","semi-narrative","bp-1","esrs 2","","5 d",""
"__export__.document_csrd_6_a5fe95f3","bp-1_06","option allowed by member state to omit disclosure of impending developments or matters in course of negotiation has been used","","","","ESRS 2","","semi-narrative","bp-1","esrs 2","","5 e",""
"__export__.document_csrd_7_7d7ac145","bp-2_01","disclosure of definitions of medium- or long-term time horizons","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","9 a",""
"__export__.document_csrd_8_9451a8e4","bp-2_02","disclosure of reasons for applying different definitions of time horizons","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","9 b",""
"__export__.document_csrd_9_f01ffed2","bp-2_03","disclosure of metrics that include value chain data estimated using indirect sources","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","10 a",""
"__export__.document_csrd_10_ae8a32a0","bp-2_04","description of basis for preparation of metrics that include value chain data estimated using indirect sources","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","10 b",""
"__export__.document_csrd_11_0686df18","bp-2_05","description of resulting level of accuracy of metrics that include value chain data estimated using indirect sources","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","10 c",""
"__export__.document_csrd_12_4864972e","bp-2_06","description of planned actions to improve accuracy in future of metrics that include value chain data estimated using indirect sources","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","10 d",""
"__export__.document_csrd_13_0404b122","bp-2_07","disclosure of quantitative metrics and monetary amounts disclosed that are subject to high level of measurement uncertainty","","","","ESRS 2","","narrative/numerical","bp-2","esrs 2","","11 a",""
"__export__.document_csrd_14_ee115257","bp-2_08","disclosure of sources of measurement uncertainty","","","","ESRS 2","","narrative","bp-2","esrs 2","","11 b i",""
"__export__.document_csrd_15_313f171a","bp-2_09","disclosure of assumptions, approximations and judgements made in measurement","","","","ESRS 2","","narrative","bp-2","esrs 2","","11 b ii",""
"__export__.document_csrd_16_3a2824f6","bp-2_10","explanation of changes in preparation and presentation of sustainability information and reasons for them","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","13 a",""
"__export__.document_csrd_17_30a4a3e0","bp-2_11","adjustment of comparative information for one or more prior periods is impracticable","","","","ESRS 2","conditional","semi-narrative","bp-2","esrs 2","","13 b",""
"__export__.document_csrd_18_64d7b0fe","bp-2_12","disclosure of difference between figures disclosed in preceding period and revised comparative figures","","","","ESRS 2","conditional","integer","bp-2","esrs 2","","13 b, 13 c",""
"__export__.document_csrd_19_2d5791ff","bp-2_13","disclosure of nature of prior period material errors","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","14 a",""
"__export__.document_csrd_20_aa89de60","bp-2_14","disclosure of corrections for prior periods included in sustainability statement","","","","ESRS 2","conditional","narrative/numerical","bp-2","esrs 2","","14 b",""
"__export__.document_csrd_21_4438eb7c","bp-2_15","disclosure of why correction of prior period errors is not practicable","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","14 c",""
"__export__.document_csrd_22_9194eaca","bp-2_16","disclosure of other legislation or generally accepted sustainability reporting standards and frameworks based on which information has been included in sustainability statement","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","15",""
"__export__.document_csrd_23_99a4cea3","bp-2_17","disclosure of reference to paragraphs of standard or framework applied","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","15",""
"__export__.document_csrd_24_942dbe7a","bp-2_18","european standards approved by european standardisation system (iso/iec or cen/cenelec standards) have been relied on","","","","ESRS 2","","semi-narrative","bp-2","esrs 2","v","ar 2",""
"__export__.document_csrd_25_9cebe0ab","bp-2_19","disclosure of extent to which data and processes that are used for sustainability reporting purposes have been verified by external assurance provider and found to conform to corresponding iso/iec or cen/cenelec standard","","","","ESRS 2","","narrative","bp-2","esrs 2","v","ar 2",""
"__export__.document_csrd_26_486af333","bp-2_20","list of drs or dps incorporated by reference","","","","ESRS 2","conditional","narrative","bp-2","esrs 2","","16",""
"__export__.document_csrd_27_de545bf9","bp-2_21","topics (e4, s1, s2, s3, s4) have been assessed to be material","","according to appendix c of esrs 1","","ESRS 2","conditional","semi-narrative","bp-2","esrs 2","","17",""
"__export__.document_csrd_28_79a50541","bp-2_22","list of sustainability matters assessed to be material (phase-in)","","according to appendix c of esrs 1","","ESRS 2","conditional","semi-narrative","bp-2","esrs 2","","17 a",""
"__export__.document_csrd_29_8d452f7e","bp-2_23","disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in)","","according to appendix c of esrs 1","","ESRS 2","conditional","narrative","bp-2","esrs 2","","17 a",""
"__export__.document_csrd_30_e2dafe79","bp-2_24","description of any time-bound targets set related to sustainability matters assessed to be material (phase-in) and progress made towards achieving those targets","","according to appendix c of esrs 1","","ESRS 2","conditional","narrative/numerical","bp-2","esrs 2","","17 b",""
"__export__.document_csrd_31_217dccb4","bp-2_25","description of policies related to sustainability matters assessed to be material (phase-in)","","according to appendix c of esrs 1","","ESRS 2","conditional","narrative","bp-2","esrs 2","","17 c",""
"__export__.document_csrd_32_5fa5258e","bp-2_26","description of actions taken to identify, monitor, prevent, mitigate, remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions","","according to appendix c of esrs 1","","ESRS 2","conditional","narrative","bp-2","esrs 2","","17 d",""
"__export__.document_csrd_33_168734cc","bp-2_27","disclosure of metrics related to sustainability matters assessed to be material (phase-in)","","according to appendix c of esrs 1","","ESRS 2","conditional","narrative/numerical","bp-2","esrs 2","","17 e",""
"__export__.document_csrd_34_f76ed869","gov-1_01","number of executive members","","","","ESRS 2","","integer","gov-1","esrs 2","","21 a",""
"__export__.document_csrd_35_bd45595d","gov-1_02","number of non-executive members","","","","ESRS 2","","integer","gov-1","esrs 2","","21 a",""
"__export__.document_csrd_36_d25411ec","gov-1_03","information about representation of employees and other workers","","","","ESRS 2","","narrative","gov-1","esrs 2","","21 b",""
"__export__.document_csrd_37_e814651f","gov-1_04","information about member's experience relevant to sectors, products and geographic locations of undertaking","","","","ESRS 2","","narrative","gov-1","esrs 2","","21 c","ar 5"
"__export__.document_csrd_38_280fd322","gov-1_05","percent of members of administrative, management and supervisory bodies by gender and other aspects of diversity","","","","ESRS 2","","percent","gov-1","esrs 2","","21 d",""
"__export__.document_csrd_39_2558c1bd","gov-1_06","board's gender diversity ratio","sfdr","","","ESRS 2","","percent","gov-1","esrs 2","","21 d",""
"__export__.document_csrd_40_0e2f8baf","gov-1_07","percent of independent board members","sfdr","","","ESRS 2","","percent","gov-1","esrs 2","","21 e",""
"__export__.document_csrd_41_dd3bf2a3","gov-1_08","information about identity of administrative, management and supervisory bodies or individual(s) within body responsible for oversight of impacts, risks and opportunities","","","","ESRS 2","","narrative","gov-1","esrs 2","","22 a",""
"__export__.document_csrd_42_14fdf5b4","gov-1_09","disclosure of how body's or individuals within body responsibilities for impacts, risks and opportunities are reflected in undertaking's terms of reference, board mandates and other related policies","","","","ESRS 2","","narrative","gov-1","esrs 2","","22 b","ar 3"
"__export__.document_csrd_43_ab800893","gov-1_10","description of management's role in governance processes, controls and procedures used to monitor, manage and oversee impacts, risks and opportunities","","","","ESRS 2","","narrative","gov-1","esrs 2","","22 c","ar 4"
"__export__.document_csrd_44_2011216e","gov-1_11","description of how oversight is exercised over management-level position or committee to which management's role is delegated to","","","","ESRS 2","","narrative","gov-1","esrs 2","","22 c i",""
"__export__.document_csrd_45_520551f4","gov-1_12","information about reporting lines to administrative, management and supervisory bodies","","","","ESRS 2","","narrative","gov-1","esrs 2","","22 c ii",""
"__export__.document_csrd_46_ddcc37bd","gov-1_13","disclosure of how dedicated controls and procedures are integrated with other internal functions","","","","ESRS 2","","narrative","gov-1","esrs 2","","22 c iii",""
"__export__.document_csrd_47_4a4ae87c","gov-1_14","disclosure of how administrative, management and supervisory bodies and senior executive management oversee setting of targets related to material impacts, risks and opportunities and how progress towards them is monitored","","","","ESRS 2","","narrative","gov-1","esrs 2","","22 d",""
"__export__.document_csrd_48_9536e89a","gov-1_15","disclosure of how administrative, management and supervisory bodies determine whether appropriate skills and expertise are available or will be developed to oversee sustainability matters","","","","ESRS 2","","narrative","gov-1","esrs 2","","23","ar 5"
"__export__.document_csrd_49_bcc8f35b","gov-1_16","information about sustainability-related expertise that bodies either directly possess or can leverage","","","","ESRS 2","","narrative","gov-1","esrs 2","","23 a",""
"__export__.document_csrd_50_486b4d67","gov-1_17","disclosure of how sustainability-related skills and expertise relate to material impacts, risks and opportunities","","","","ESRS 2","","narrative","gov-1","esrs 2","","23 b",""
"__export__.document_csrd_51_8f5fd851","gov-2_01","disclosure of whether, by whom and how frequently administrative, management and supervisory bodies are informed about material impacts, risks and opportunities, implementation of due diligence, and results and effectiveness of policies, actions, metrics and targets adopted to address them","","","","ESRS 2","","narrative","gov-2","esrs 2","","26 a",""
"__export__.document_csrd_52_9996d229","gov-2_02","disclosure of how administrative, management and supervisory bodies consider impacts, risks and opportunities when overseeing strategy, decisions on major transactions and risk management process","","","","ESRS 2","","narrative","gov-2","esrs 2","","26 b",""
"__export__.document_csrd_53_54365e2a","gov-2_03","disclosure of list of material impacts, risks and opportunities addressed by administrative, management and supervisory bodies or their relevant committees","","","","ESRS 2","","narrative","gov-2","esrs 2","","26 c",""
"__export__.document_csrd_54_a2441c9a","gov-2_04","disclosure of how governance bodies ensure that appropriate mechanism for performance monitoring is in place","","","","ESRS 2","","narrative","gov-2","esrs 2","v","ar 6",""
"__export__.document_csrd_55_9052c7f9","gov-3_01","incentive schemes and remuneration policies linked to sustainability matters for members of administrative, management and supervisory bodies exist","","","","ESRS 2","","semi-narrative","gov-3","esrs 2","","29","ar 7"
"__export__.document_csrd_56_6521a58b","gov-3_02","description of key characteristics of incentive schemes","","","","ESRS 2","","narrative","gov-3","esrs 2","","29 a",""
"__export__.document_csrd_57_40b48fff","gov-3_03","description of specific sustainability-related targets and (or) impacts used to assess performance of members of administrative, management and supervisory bodies","","","","ESRS 2","","narrative","gov-3","esrs 2","","29 b",""
"__export__.document_csrd_58_8266108a","gov-3_04","disclosure of how sustainability-related performance metrics are considered as performance benchmarks or included in remuneration policies","","","","ESRS 2","","narrative","gov-3","esrs 2","","29 c",""
"__export__.document_csrd_59_44e6f42c","gov-3_05","percent of variable remuneration dependent on sustainability-related targets and (or) impacts","","","","ESRS 2","","percent","gov-3","esrs 2","","29 d",""
"__export__.document_csrd_60_1e25751b","gov-3_06","description of level in undertaking at which terms of incentive schemes are approved and updated","","","","ESRS 2","","narrative","gov-3","esrs 2","","29 e",""
"__export__.document_csrd_61_6370fb6f","gov-4_01","disclosure of mapping of information provided in sustainability statement about due diligence process","sfdr","","","ESRS 2","","narrative","gov-4","esrs 2","","30; 32","ar 8 - ar 10"
"__export__.document_csrd_62_42f8a863","gov-5_01","description of scope, main features and components of risk management and internal control processes and systems in relation to sustainability reporting","","","","ESRS 2","","narrative","gov-5","esrs 2","","36 a","ar 11"
"__export__.document_csrd_63_522adc0b","gov-5_02","description of risk assessment approach followed","","","","ESRS 2","","narrative","gov-5","esrs 2","","36 b","ar 11"
"__export__.document_csrd_64_f512ad17","gov-5_03","description of main risks identified and their mitigation strategies","","","","ESRS 2","","narrative","gov-5","esrs 2","","36 c","ar 11"
"__export__.document_csrd_65_4c1477e3","gov-5_04","description of how findings of risk assessment and internal controls as regards sustainability reporting process have been integrated into relevant internal functions and processes","","","","ESRS 2","","narrative","gov-5","esrs 2","","36 d","ar 11"
"__export__.document_csrd_66_7beb5d3d","gov-5_05","description of periodic reporting of findings of risk assessment and internal controls to administrative, management and supervisory bodies","","","","ESRS 2","","narrative","gov-5","esrs 2","","36 e","ar 11"
"__export__.document_csrd_67_37d58dd2","sbm-1_01","description of significant groups of products and (or) services offered","","","","ESRS 2","","narrative","sbm-1","esrs 2","","40 a i","ar 12-13"
"__export__.document_csrd_68_f596e13a","sbm-1_02","description of significant markets and (or) customer groups served","","","","ESRS 2","","narrative","sbm-1","esrs 2","","40 a ii","ar 12-13"
"__export__.document_csrd_69_1f274425","sbm-1_03","total number of employees (head count)","","","","ESRS 2","","integer","sbm-1","esrs 2","","40 a iii","ar 12-13"
"__export__.document_csrd_70_dd48db27","sbm-1_04","number of employees (head count)","","","","ESRS 2","","integer","sbm-1","esrs 2","","40 a iii","ar 12-13"
"__export__.document_csrd_71_a7a8d0f9","sbm-1_05","description of products and services that are banned in certain markets","","","","ESRS 2","conditional","narrative","sbm-1","esrs 2","","40 a iv","ar 12-13"
"__export__.document_csrd_72_97032450","sbm-1_06","total revenue","","","","ESRS 2","","monetary","sbm-1","esrs 2","","40 b","ar 12-13"
"__export__.document_csrd_73_3e21f6cf","sbm-1_07","revenue by significant esrs sectors","","","until adoption of esrs sectors","ESRS 2","","table/monetary","sbm-1","esrs 2","","40 b","ar 12-13"
"__export__.document_csrd_74_c018e80e","sbm-1_08","list of additional significant esrs sectors in which significant activities are developed or in which undertaking is or may be connected to material impacts","","","until adoption of esrs sectors","ESRS 2","","semi-narrative","sbm-1","esrs 2","","40 c","ar 12-13"
"__export__.document_csrd_75_affa0b25","sbm-1_09","undertaking is active in fossil fuel (coal, oil and gas) sector","sfdr","","","ESRS 2","","semi-narrative","sbm-1","esrs 2","","40 d i","ar 12-13"
